id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,field21,eva_hrs_mission,total_eva_hrs
1,1,1,"Gagarin, Yuri",ГАГАРИН Юрий Алексеевич,male,1934,U.S.S.R/Russia,military,TsPK-1,1960,1,1,pilot,1961,Vostok 1,Vostok 1,Vostok 2,Vostok 3,1.77,0,0,0
2,2,2,"Titov, Gherman",ТИТОВ Герман Степанович,male,1935,U.S.S.R/Russia,military,TsPK-1,1960,1,1,pilot,1961,Vostok 2,Vostok 2,Vostok 2,Vostok 2,25,0,0,0
3,3,1,"Glenn, John H., Jr.","Glenn, John H., Jr.",male,1921,U.S.,military,NASA Astronaut Group 1,1959,1,2,pilot,1962,MA-6,MA-6,MA-6,MA-6,5,0,0,0
4,3,1,"Glenn, John H., Jr.","Glenn, John H., Jr.",male,1921,U.S.,military,NASA Astronaut Group 2,1959,2,2,PSP,1998,STS-95,STS-95,STS-95,STS-95,213,0,0,0
5,4,2,"Carpenter, M. Scott","Carpenter, M. Scott",male,1925,U.S.,military,NASA- 1,1959,1,1,Pilot,1962,Mercury-Atlas 7,Mercury-Atlas 7,Mercury-Atlas 7,Mercury-Atlas 7,5,0,0,0
6,5,2,"Nikolayev, Andriyan",НИКОЛАЕВ Андриян Григорьевич,male,1929,U.S.S.R/Russia,military,TsPK-1,1960,1,2,pilot,1962,Vostok 3,Vostok 3,Vostok 3,Vostok 3,94,0,0,0
7,5,2,"Nikolayev, Andriyan",НИКОЛАЕВ Андриян Григорьевич,male,1929,U.S.S.R/Russia,military,TsPK-2,1960,2,2,pilot,1970,Soyuz 9,Soyuz 9,Soyuz 9,Soyuz 9,424,0,0,0
8,6,4,"Popovich, Pavel",ПОПОВИЧ Павел Романович,male,1930,U.S.S.R/Russia,military,TsPK-1,1960,1,2,pilot,1962,Vostok 4,Vostok 4,Vostok 4,Vostok 4,70.93,0,0,0
9,6,4,"Popovich, Pavel",ПОПОВИЧ Павел Романович,male,1930,U.S.S.R/Russia,military,TsPK-2,1960,2,2,commander,1974,Soyuz 14,Soyuz 14,Soyuz 14,Soyuz 14,377,0,0,0
10,7,3,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.",male,1923,U.S.,military,1959 NASA group 1,1959,1,3,pilot,1962,Mercury-Atlas 8,Mercury-Atlas 8,Mercury-Atlas 8,Mercury-Atlas 8,9.22,0,0,0
11,7,3,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.",male,1923,U.S.,military,1960 NASA group 1,1959,2,3,commander,1965,Gemini 6A,Gemini 6A,Gemini 6A,Gemini 6A,25.87,0,0,0
12,7,3,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.",male,1923,U.S.,military,1961 NASA group 1,1959,3,3,commander,1968,Apollo 7,Apollo 7,Apollo 7,Apollo 7,260.13,0,0,0
13,8,4,"Cooper, L. Gordon, Jr.","Cooper, L. Gordon, Jr.",male,1927,U.S.,military,NASA- 1,1959,1,2,pilot,1963,Mercury-Atlas 9,Mercury-Atlas 9,Mercury-Atlas 9,Mercury-Atlas 9,34.32,0,0,0
14,8,4,"Cooper, L. Gordon, Jr.","Cooper, L. Gordon, Jr.",male,1927,U.S.,military,NASA- 1,1959,2,2,commander,1965,Gemini 5,Gemini 5,Gemini 5,Gemini 5,191.92,0,0,0
15,9,5,"Bykovsky, Valery",БЫКОВСКИЙ Валерий Федорович,male,1934,U.S.S.R/Russia,military,TsPK-1,1960,1,3,pilot,1963,Vostok 5,Vostok 5,Vostok 5,Vostok 5,119.13,0,0,0
16,9,5,"Bykovsky, Valery",БЫКОВСКИЙ Валерий Федорович,male,1934,U.S.S.R/Russia,military,TsPK-2,1960,2,3,commander,1976,Soyuz 22,Soyuz 22,Soyuz 22,Soyuz 22,189,0,0,0
17,9,5,"Bykovsky, Valery",БЫКОВСКИЙ Валерий Федорович,male,1934,U.S.S.R/Russia,military,TsPK-3,1960,3,3,commander,1978,Soyuz 31/29,Soyuz 31,Salyut 6,Soyuz 29,188,0,0,0
18,10,6,"Tereshkova, Valentina",ТЕРЕШКОВА Валентина Владимировна,female,1937,U.S.S.R/Russia,military,VVS Women,1962,1,1,pilot,1963,Vostok 6,Vostok 6,Vostok 6,Vostok 6,70.83,0,0,0
19,11,7,"Komarov, Vladimir",КОМАРОВ Владимир Михайлович,male,1927,U.S.S.R/Russia,military,TsPK-1,1960,1,2,commander,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1,24.28,0,0,0
20,11,7,"Komarov, Vladimir",КОМАРОВ Владимир Михайлович,male,1927,U.S.S.R/Russia,military,TsPK-2,1960,2,2,commander,1967,Soyuz 1,Soyuz 1,Soyuz 1,Soyuz 1,26.78,0,0,0
21,12,8,"Feoktistov, Konstantin",ФЕОКТИСТОВ Константин Петрович,male,1926,U.S.S.R/Russia,civilian,Voskhod-1 / TsKBEM-1,1964,1,1,MSP,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1,24.28,0,0,0
22,13,9,"Yegorov, Boris",ЕГОРОВ Борис Борисович,male,1937,U.S.S.R/Russia,civilian,Voskhod-1,1964,1,1,MSP,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1,24.28,0,0,0
23,14,10,"Belyayev, Pavel",БЕЛЯЕВ Павел Иванович,male,1925,U.S.S.R/Russia,military,TsPK-1,1960,1,1,commander,1965,Voskhod 2,Voskhod 2,Voskhod 2,Voskhod 2,26.03,0,0,0
24,15,11,"Leonov, Aleksei",ЛЕОНОВ Алексей Архипович,male,1934,U.S.S.R/Russia,military,TsPK-1,1960,1,2,pilot,1965,Voskhod 2,Voskhod 2,Voskhod 2,Voskhod 2,26.03,1,0.73,0.73
25,15,11,"Leonov, Aleksei",ЛЕОНОВ Алексей Архипович,male,1934,U.S.S.R/Russia,military,TsPK-2,1960,2,2,commander,1975,Soyuz 19,Soyuz 19,Soyuz 19/Apollo,Soyuz 19,142,0,0,0.73
26,16,5,"Grissom, Virgil I.","Grissom, Virgil I.",male,1926,U.S.,military,NASA Astronaut Group 2,1959,1,1,commander,1965,Gemini 3,Gemini 3,Gemini 3,Gemini 3,4.86,0,0,0
27,17,6,"Young, John W.","Young, John W.",male,1930,U.S.,military,1962 NASA group 2,1962,1,6,pilot,1965,Gemini 3,Gemini 3,Gemini 3,Gemini 3,4.86,0,0,20.23
28,17,6,"Young, John W.","Young, John W.",male,1930,U.S.,military,1963 NASA group 2,1962,2,6,pilot,1966,Gemini 10,Gemini 10,Gemini 10,Gemini 10,70.77,0,0,20.23
29,17,6,"Young, John W.","Young, John W.",male,1930,U.S.,military,1964 NASA group 2,1962,3,6,pilot,1969,Apollo 10,Apollo 10,Apollo 10,Apollo 10,192.05,0,0,20.23
30,17,6,"Young, John W.","Young, John W.",male,1930,U.S.,military,1965 NASA group 2,1962,4,6,commander,1972,Apollo 16,Apollo 16,Apollo 16,Apollo 16,265.85,3,20.23,20.23
31,17,6,"Young, John W.","Young, John W.",male,1930,U.S.,military,1966 NASA group 2,1962,5,6,commander,1981,STS-1,STS-1,STS-1,STS-1,54.5,0,0,20.23
32,17,6,"Young, John W.","Young, John W.",male,1930,U.S.,military,1967 NASA group 2,1962,6,6,commander,1983,STS-9,STS-9,STS-9,STS-9,240,0,0,20.23
33,18,7,"McDivitt, James A.","McDivitt, James A.",male,1929,U.S.,military,NASA- 2,1962,1,2,commander,1965,Gemini 4,Gemini 4,Gemini 4,Gemini 4,97,0,0,0
34,18,7,"McDivitt, James A.","McDivitt, James A.",male,1929,U.S.,military,NASA- 2,1962,2,2,commander,1969,Apollo 9,Apollo 9,Apollo 9,Apollo 9,241,0,0,0
35,19,8,"White, Edward H., II","White, Edward H., II",male,1930,U.S.,military,1962 NASA group 2,1962,1,1,pilot,1965,Gemini 4,Gemini 4,Gemini 4,Gemini 4,97.93,1,0.33,0.33
36,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,1930,U.S.,military,NASA- 2,1962,1,4,pilot,1965,Gemini 5,Gemini 5,Gemini 5,Gemini 5,191,0,0,12.77
37,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,1930,U.S.,military,NASA- 2,1962,2,4,commander,1966,Gemini 11,Gemini 11,Gemini 11,Gemini 11,71,0,0,12.77
38,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,1930,U.S.,military,NASA- 2,1962,3,4,commander,1969,Apollo 12,Apollo 12,Apollo 12,Apollo 12,244,2,7.75,12.77
39,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,1930,U.S.,military,NASA- 2,1962,4,4,commander,1973,Skylab 2,Skylab 2,Skylab 2,Skylab 2,673,2,5.02,12.77
40,21,10,"Borman, Frank","Borman, Frank",male,1928,U.S.,military,NASA- 2,1962,1,2,commander,1965,Gemini 7,Gemini 7,Gemini 7,Gemini 7,330.58,0,0,0
41,21,10,"Borman, Frank","Borman, Frank",male,1928,U.S.,military,NASA- 2,1962,2,2,commander,1968,Apollo 8,Apollo 8,Apollo 8,Apollo 8,147,0,0,0
42,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,1928,U.S.,military,NASA- 2,1962,1,4,pilot,1965,Gemini 7,Gemini 7,Gemini 7,Gemini 7,330.58,0,0,0
43,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,1928,U.S.,military,NASA- 2,1962,2,4,commander,1966,Gemini 12,Gemini 12,Gemini 12,Gemini 12,94,0,0,0
44,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,1928,U.S.,military,NASA- 2,1962,3,4,pilot,1968,Apollo 8,Apollo 8,Apollo 8,Apollo 8,147,0,0,0
45,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,1928,U.S.,military,NASA- 2,1962,4,4,commander,1970,Apollo 13,Apollo 13,Apollo 13,Apollo 13,142,0,0,0
46,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,1930,U.S.,military,1996 NASA group,1962,1,4,pilot,1965,gemini 6A,gemini 6A,gemini 6A,gemini 6A,25.86,0,0,0
47,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,1930,U.S.,military,1996 NASA group,1962,2,4,commander,1966,Gemini 9A,Gemini 9A,Gemini 9A,Gemini 9A,72,0,0,0
48,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,1930,U.S.,military,1996 NASA group,1962,3,4,commander,1969,Apollo 10,Apollo 10,Apollo 10,Apollo 10,192,0,0,0
49,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,1930,U.S.,military,1996 NASA group,1962,4,4,commander,1975,ASTP,ASTP,ASTP,ASTP,217,0,0,0
50,24,13,"Armstrong, Neil A.","Armstrong, Neil A.",male,1930,U.S.,civilian,"1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2",1962,1,2,commander,1966,Gemini 8,Gemini 8,Gemini 8,Gemini 8,11,0,0,2.51
51,24,13,"Armstrong, Neil A.","Armstrong, Neil A.",male,1930,U.S.,civilian,"1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2",1962,2,2,commander,1969,Apollo 11,Apollo 11,Apollo 11,Apollo 11,195,1,2.52,2.51
52,25,14,"Scott, David R.","Scott, David R.",male,1932,U.S.,military,1963 NASA group 3,1963,1,3,pilot,1966,Gemini 8,Gemini 8,Gemini 8,Gemini 8,240.68,0,0,19.9
53,25,14,"Scott, David R.","Scott, David R.",male,1932,U.S.,military,1963 NASA group 3,1963,2,3,pilot,1969,Apollo 9,Apollo 9,Apollo 9,Apollo 9,241,1,1.13,19.9
54,25,14,"Scott, David R.","Scott, David R.",male,1932,U.S.,military,1963 NASA group 3,1963,3,3,commander,1971,Apollo 15,Apollo 15,Apollo 15,Apollo 15,312,3,18.77,19.9
55,26,15,"Cernan, Eugene A.","Cernan, Eugene A.",male,1934,U.S.,military,NASA- 3,1963,1,3,pilot,1966,Gemini 9A,Gemini 9A,Gemini 9A,Gemini 9A,72,1,2.12,24.18
56,26,15,"Cernan, Eugene A.","Cernan, Eugene A.",male,1934,U.S.,military,NASA- 3,1963,2,3,pilot,1969,Apollo 10,Apollo 10,Apollo 10,Apollo 10,192.05,0,0,24.18
57,26,15,"Cernan, Eugene A.","Cernan, Eugene A.",male,1934,U.S.,military,NASA- 3,1963,3,3,commander,1972,Apollo 17,Apollo 17,Apollo 17,Apollo 17,302,3,22.13,24.18
58,27,16,"Collins, Michael","Collins, Michael",male,1930,U.S.,civilian,NASA- 3,1963,1,2,pilot,1966,Gemini 10,Gemini 10,Gemini 10,Gemini 10,71,1,1.47,1.47
59,27,16,"Collins, Michael","Collins, Michael",male,1930,U.S.,civilian,NASA- 3,1963,2,2,pilot,1969,Apollo 11,Apollo 11,Apollo 11,Apollo 11,195,0,0,1.47
60,28,17,"Gordon, Richard F., Jr.","Gordon, Richard F., Jr.",male,1929,U.S.,military,NASA Astronaut Group 3,1963,1,2,pilot,1966,Gemini 11,Gemini 11,Gemini 11,Gemini 11,71.28,0,0,2.68
61,28,17,"Gordon, Richard F., Jr.","Gordon, Richard F., Jr.",male,1929,U.S.,military,NASA Astronaut Group 4,1963,2,2,pilot,1969,Apollo 12,Apollo 12,Apollo 12,Apollo 12,244.6,2,2.68,2.68
62,29,18,"Aldrin, Edwin Eugene, Jr.","Aldrin, Edwin Eugene, Jr.",male,1930,U.S.,military,NASA- 3,1963,1,2,pilot,1966,Gemini 12,Gemini 12,Gemini 12,Gemini 12,94.58,3,5.5,8
63,29,18,"Aldrin, Edwin Eugene, Jr.","Aldrin, Edwin Eugene, Jr.",male,1930,U.S.,military,NASA- 3,1963,2,2,pilot,1969,Apollo 11,Apollo 11,Apollo 11,Apollo 11,195,1,2.5,8
64,30,19,"Eisele, Donn F.","Eisele, Donn F.",male,1930,U.S.,military,NASA- 3,1963,1,1,pilot,1968,Apollo 7,Apollo 7,Apollo 7,Apollo 7,260.13,0,0,0
65,31,20,"Cunningham, Ronnie Walter","Cunningham, Ronnie Walter",male,1932,U.S.,civilian,NASA- 3,1963,1,1,pilot,1968,Apollo 7,Apollo 7,Apollo 7,Apollo 7,260.13,0,0,0
66,100,50,"Savinykh, Viktor",Виктор Петрович Савиных,male,1940,U.S.S.R/Russia,civilian,NPOE-4,1978,2,3,flight engineer,1985,Salyut 7,Soyuz T­13,Salyut 7,Soyuz T­14,4035,0,0,5
67,100,50,"Savinykh, Viktor",Виктор Петрович Савиных,male,1940,U.S.S.R/Russia,civilian,NPOE-4,1978,3,3,flight engineer,1988,2,Soyuz TM­5,Mir EP,Soyuz TM­4,236,0,0,5
68,101,1,Jugderdemidiin Gurragchaa,Жүгдэрдэмидийн Гүррагчаа,male,1947,Mongolia,civilian,1978 Intercosmos Group,1978,1,1,flight engineer,1981,Soyuz 39,Soyuz 39,Soyuz 39,Soyuz 39,188.7,0,0,0
69,102,44,"Crippen, Robert L.","Crippen, Robert L.",male,1937,U.S.,military,NASA- 7,1969,1,4,pilot,1981,STS-1,STS-1,STS-1,STS-1,54,0,0,0
70,102,44,"Crippen, Robert L.","Crippen, Robert L.",male,1937,U.S.,military,NASA- 7,1969,2,4,commander,1983,STS-7,STS-7,STS-7,STS-7,146,0,0,0
71,102,44,"Crippen, Robert L.","Crippen, Robert L.",male,1937,U.S.,military,NASA- 7,1969,3,4,commander,1984,STS-41-C,STS-41-C,STS-41-C,STS-41-C,168,0,0,0
72,102,44,"Crippen, Robert L.","Crippen, Robert L.",male,1937,U.S.,military,NASA- 7,1969,4,4,commander,1984,STS-41-G,STS-41-G,STS-41-G,STS-41-G,197,0,0,0
73,103,1,Dumitru Prunariu,Dumitru-Dorin Prunariu,male,1952,Romania,civilian,1978 Intercosmos Group,1978,1,1,MSP,1981,Soyuz 40,Soyuz 40,Soyuz 40,Soyuz 40,188.7,0,0,0
74,104,45,"Engle, Joe H.","Engle, Joe H.",male,1932,U.S.,military,NASA- 5,1966,1,2,commander,1981,STS-2,STS-2,STS-2,STS-2,30,0,0,0
75,104,45,"Engle, Joe H.","Engle, Joe H.",male,1932,U.S.,military,NASA- 5,1966,2,2,commander,1985,STS-51-I,STS-51-I,STS-51-I,STS-51-I,170,0,0,0
76,105,46,"Truly, Richard H.","Truly, Richard H.",male,1937,U.S.,military,1965 USAF MOL group 1,1969,1,2,pilot,1981,STS-2,STS-2,STS-2,STS-2,54.21,0,0,0
77,105,46,"Truly, Richard H.","Truly, Richard H.",male,1937,U.S.,military,1965 USAF MOL group 1,1969,2,2,commander,1983,STS-8,STS-8,STS-8,STS-8,145.13,0,0,0
78,106,47,"Fullerton, Charles G.","Fullerton, Charles G.",male,1936,U.S.,military,"USAF MOL Group 2 
 NASA- 7",1969,1,2,pilot,1982,STS-3,STS-3,STS-3,STS-3,192,0,0,0
79,106,47,"Fullerton, Charles G.","Fullerton, Charles G.",male,1936,U.S.,military,"USAF MOL Group 2 
 NASA- 7",1969,2,2,commander,1985,STS-51-F,STS-51-F,STS-51-F,STS-51-F,190,0,0,0
80,107,51,"Berezovoy, Anatoly",Анатолий Николаевич Березовой,male,1942,U.S.S.R/Russia,military,TsPK-5,1970,1,1,commander,1982,Salyut 7,Soyuz T­5,Salyut 7,Soyuz T­7,5073,1,2.55,2.55
81,108,1,"Chrétien, Jean-Loup","Chrétien, Jean-Loup",male,1938,France,military,CNES-1,1980,1,3,MSP,1982,Salyut 7,Soyuz T-6,Salyut 7,Soyuz T-6,190,0,0,5.95
82,108,1,"Chrétien, Jean-Loup","Chrétien, Jean-Loup",male,1938,France,military,CNES-1,1980,2,3,MSP,1988,Mir Aragatz,Soyuz TM-7,Mir,Soyuz TM-6,594,1,5.95,5.95
83,108,1,"Chrétien, Jean-Loup","Chrétien, Jean-Loup",male,1938,France,military,CNES-1,1980,3,3,MSP,1997,STS-86,STS-86,STS-86,STS-86,259.3,0,0,5.95
84,109,48,"Hartsfield, Henry W., Jr.","Hartsfield, Henry W., Jr.",male,1933,U.S.,military,NASA Astronaut Group 7,1969,1,3,pilot,1982,STS-4,STS-4,STS-4,STS-4,169,0,0,0
85,109,48,"Hartsfield, Henry W., Jr.","Hartsfield, Henry W., Jr.",male,1933,U.S.,military,NASA Astronaut Group 7,1969,2,3,commander,1984,STS-41-D,STS-41-D,STS-41-D,STS-41-D,144,0,0,0
86,109,48,"Hartsfield, Henry W., Jr.","Hartsfield, Henry W., Jr.",male,1933,U.S.,military,NASA Astronaut Group 7,1969,3,3,commander,1985,STS-61-A,STS-61-A,STS-61-A,STS-61-A,168,0,0,0
87,110,52,"Serebrov, Aleksandr",Александр Александрович Серебров,male,1944,U.S.S.R/Russia,civilian,NPOE-4,1978,1,4,flight engineer,1982,Salyut 7,Soyuz T­7,Salyut 7,Soyuz T­5,189,0,0,31.82
88,32,12,"Beregovoi, Georgi",БЕРЕГОВОЙ Георгий Тимофеевич,male,1921,U.S.S.R/Russia,military,TsPK-2,1964,1,1,commander,1968,Soyuz 3,Soyuz 3,Soyuz 3,Soyuz 3,94.83,0,0,0
89,33,21,"Anders, William Alison","Anders, William Alison",male,1933,U.S.,civilian,NASA- 3,1963,1,1,pilot,1968,Apollo 8,Apollo 8,Apollo 8,Apollo 8,147,0,0,0
90,34,13,"Shatalov, Vladimir",ШАТАЛОВ Владимир Александрович,male,1927,U.S.S.R/Russia,military,TsPK-2,1963,1,3,commander,1969,Soyuz 4,Soyuz 4,Soyuz 4/Soyuz 5,Soyuz 4,71.33,0,0,0
91,34,13,"Shatalov, Vladimir",ШАТАЛОВ Владимир Александрович,male,1927,U.S.S.R/Russia,military,TsPK-3,1963,2,3,commander,1969,Soyuz 8,Soyuz 8,Soyuz 8,Soyuz 8,118,0,0,0
92,34,13,"Shatalov, Vladimir",ШАТАЛОВ Владимир Александрович,male,1927,U.S.S.R/Russia,military,TsPK-4,1963,3,3,commander,1971,Soyuz 10,Soyuz 10,Soyuz 10,Soyuz 10,47,0,0,0
